"","state","district","candidate","gender","total_votes","vote_share","winner_party","winner_gender","pres_winner","flip","year","party"
"54","CA",39,"Gil Cisneros","male",252004,0.515571231581919,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"55","CA",4,"Jessica Morse","female",312506,0.458685352292942,"Republican","male","Trump",FALSE,2018,"Democrat"
"56","CA",40,"Lucille Roybal-Allard","female",187876,0.773476932704263,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"57","CA",41,"Mark Takano","male",216454,0.65099730523074,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"58","CA",42,"Julia C Peacock","female",201784,0.435006812341548,"Republican","male","Trump",FALSE,2018,"Democrat"
"59","CA",43,"Maxine Waters","female",304544,0.77669189806786,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"60","CA",44,"Aja L. Brown","female",90756,0.316615732406748,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"61","CA",44,"Nanette Diaz Barragan","female",195888,0.683384267593252,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"62","CA",45,"Katie Porter","female",317812,0.520510074060972,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"63","CA",46,"Lou Correa","female",204556,0.691460017847968,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"64","CA",47,"Alan Lowenthal","male",286708,0.648554986518033,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"65","CA",48,"Harley Rouda","male",315674,0.535519922914065,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"66","CA",49,"Mike Levin","male",332906,0.564190082364505,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"67","CA",5,"Mike Thompson","male",411720,0.788681240374227,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"68","CA",50,"Ammar Campa-Najjar","male",250896,0.482845156075594,"Republican","male","Trump",FALSE,2018,"Democrat"
"69","CA",51,"Juan Vargas","male",219054,0.712009517123021,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"70","CA",52,"Scott Peters","male",377984,0.638471387500971,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"71","CA",53,"Susan A. Davis","female",371334,0.690740864751445,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"72","CA",6,"Doris Matsui","female",324822,0.804257721391113,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"73","CA",6,"Jrmar Jefferson","Unknown",79056,0.195742278608887,"Democrat","Unknown","Clinton",FALSE,2018,"Democrat"
"74","CA",7,"Ami Bera","female",310032,0.550449724270907,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"75","CA",8,"No candidate","N/A",0,NA,"Republican","male","Trump",FALSE,2018,"Democrat"
"76","CA",8,"No candidate","N/A",0,NA,"Republican","male","Trump",FALSE,2018,"Democrat"
"77","CA",9,"Jerry McNerney","male",226828,0.564914849847831,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"78","CO",1,"Diana DeGette","female",272886,0.738142188248087,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"79","CO",2,"Joe Neguse","male",259608,0.602878680210119,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"80","CO",3,"Diane Mitsch Bush","female",146426,0.435546671663856,"Republican","male","Trump",FALSE,2018,"Democrat"
"81","CO",4,"Karen McCormick","female",145544,0.393807057703027,"Republican","male","Trump",FALSE,2018,"Democrat"
"82","CO",5,"Stephany Rose Spaulding","female",126848,0.393150366501883,"Republican","male","Trump",FALSE,2018,"Democrat"
"83","CO",6,"Jason Crow","male",187639,0.54103172566512,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"84","CO",7,"Ed Perlmutter","male",204260,0.604308799252084,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"85","CT",1,"John B Larson","male",166155,0.6060954256949,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"86","CT",2,"Joe Courtney","male",167659,0.579906196171752,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"87","CT",3,"Rosa L DeLauro","female",163211,0.603950577081768,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"88","CT",4,"Jim Himes","male",168726,0.612100083076064,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"89","CT",5,"Jahana Hayes","female",142901,0.527964561227204,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"90","DE",0,"Lisa Blunt Rochester","female",227353,0.644539699549523,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"91","FL",20,"Alcee L. Hastings","male",405318,0.999186486806295,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"92","GA",1,"Lisa M. Ring","female",105942,0.422613420136188,"Republican","male","Trump",FALSE,2018,"Democrat"
"93","GA",10,"Tabitha A. Johnson-Green","female",112339,0.371080317769667,"Republican","female","Trump",FALSE,2018,"Democrat"
"94","GA",11,"Flynn D. Broady Jr","male",118653,0.382086043665872,"Republican","male","Trump",FALSE,2018,"Democrat"
"95","GA",12,"Francys Johnson","female",101503,0.40521453778963,"Republican","male","Trump",FALSE,2018,"Democrat"
"96","GA",13,"David Scott","male",223157,0.761601993106037,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"97","GA",14,"Steven Lamar Foster","male",53981,0.234981978374049,"Republican","male","Trump",FALSE,2018,"Democrat"
"98","GA",2,"Sanford Bishop","male",136699,0.59649344812389,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"99","GA",3,"Chuck Enderlin","male",101010,0.344736967843662,"Republican","male","Trump",FALSE,2018,"Democrat"
"100","GA",4,"Henry C """"Hank"""" Johnson Jr","male",227717,0.78846919590456,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"101","GA",5,"John R. Lewis","male",275406,1,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"102","GA",6,"Lucy McBath","female",160139,0.505119357036514,"Democrat","female","Trump",TRUE,2018,"Democrat"
"103","GA",7,"Carolyn Bourdeaux","female",140011,0.499252962298665,"Republican","male","Trump",FALSE,2018,"Democrat"
"104","GA",8,"No candidate","N/A",0,NA,"Republican","male","Trump",FALSE,2018,"Democrat"
"105","GA",9,"Josh McCall","male",57912,0.204941644430918,"Republican","male","Trump",FALSE,2018,"Democrat"
"106","HI",1,"Ed Case","male",134650,0.730955263257895,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"107","HI",2,"Tulsi Gabbard","female",153271,0.773623189868818,"Democrat","female","Clinton",FALSE,2018,"Democrat"
"108","IA",1,"Abby Finkenauer","female",170342,0.509635205524125,"Democrat","female","Trump",TRUE,2018,"Democrat"
"109","IA",2,"Dave Loebsack","male",171446,0.547903091274571,"Democrat","male","Trump",TRUE,2018,"Democrat"
"110","IA",3,"Cindy Axne","female",175642,0.493042631252439,"Democrat","female","Trump",TRUE,2018,"Democrat"
"111","IA",4,"J.D. Scholten","Unknown",147246,0.47005755767739,"Republican","male","Trump",FALSE,2018,"Democrat"
"112","ID",1,"Cristina McNeil","female",96922,0.307621505130622,"Republican","male","Trump",FALSE,2018,"Democrat"
"113","ID",2,"Aaron Swisher","male",110381,0.393297821168338,"Republican","male","Trump",FALSE,2018,"Democrat"
"114","IL",1,"Bobby L. Rush","male",189560,0.735056323555073,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"115","IL",10,"Brad Schneider","male",156540,0.655901183253444,"Democrat","male","Clinton",FALSE,2018,"Democrat"
"116","IL",11,"Bill Foster","male",145407,0.638408008254122,"Democrat","male","Clinton",FALSE,2018,"Democrat"
