CD,Incumbent,Party,Clinton,Trump,Winner,,,
FL-07,"Murphy, Stephanie",(D),51.4,44.1,Clinton,,,
FL-08,"Posey, Bill",(R),37.7,58.4,Trump,,,
FL-09,"Soto, Darren",(D),54.8,41.9,Clinton,,,
FL-10,"Demings, Val",(D),61.8,34.9,Clinton,,,
FL-11,"Webster, Dan",(R),32.5,64.8,Trump,,,
FL-12,"Bilirakis, Gus",(R),38.8,57.4,Trump,,,
FL-13,"Crist, Charlie",(D),49.6,46.4,Clinton,,,
FL-14,"Castor, Kathy",(D),57.2,39.0,Clinton,,,
FL-15,"Ross, Dennis",(R),43.1,53.1,Trump,,,
FL-16,"Buchanan, Vern",(R),43.0,53.7,Trump,,,
FL-17,"Rooney, Tom",(R),35.0,62.2,Trump,,,
FL-18,"Mast, Brian",(R),44.1,53.3,Trump,,,
FL-19,"Rooney, Francis",(R),37.5,59.6,Trump,,,
FL-20,"Hastings, Alcee",(D),80.2,18.1,Clinton,,,
FL-21,"Frankel, Lois",(D),58.6,39.1,Clinton,,,
FL-22,"Deutch, Ted",(D),56.8,41.0,Clinton,,,
FL-23,"Wasserman Schultz, Debbie",(D),61.9,35.8,Clinton,,,
FL-24,"Wilson, Frederica",(D),82.9,15.4,Clinton,,,
FL-25,"Diaz-Balart, Mario",(R),47.9,49.7,Trump,,,
FL-26,"Curbelo, Carlos",(R),56.8,40.5,Clinton,,,
FL-27,"Ros-Lehtinen, Ileana",(R),58.5,38.9,Clinton,,,
GA-01,"Carter, Buddy",(R),40.9,56.4,Trump,,,
GA-02,"Bishop, Sanford",(D),55.0,43.3,Clinton,,,
GA-03,"Ferguson, Drew",(R),32.8,64.3,Trump,,,
GA-04,"Johnson, Hank",(D),75.3,22.2,Clinton,,,
GA-05,"Lewis, John",(D),85.0,11.9,Clinton,,,
GA-06,"Handel, Karen",(R),46.8,48.3,Trump,,,
GA-07,"Woodall, Rob",(R),44.8,51.1,Trump,,,
GA-08,"Scott, Austin",(R),34.4,63.3,Trump,,,
GA-09,"Collins, Doug",(R),19.3,77.8,Trump,,,
GA-10,"Hice, Jodi",(R),35.8,61.3,Trump,,,
GA-11,"Loudermilk, Barry",(R),35.3,60.3,Trump,,,
GA-12,"Allen, Rick",(R),40.7,56.9,Trump,,,
GA-13,"Scott, David",(D),71.0,26.6,Clinton,,,
GA-14,"Graves, Tom",(R),22.1,75.0,Trump,,,
HI-01,"Hanabusa, Colleen",(D),63.1,30.5,Clinton,,,
HI-02,"Gabbard, Tulsi",(D),61.4,29.6,Clinton,,,
IA-01,"Blum, Rod",(R),45.2,48.7,Trump,,,
IA-02,"Loebsack, David",(D),45.0,49.1,Trump,,,
IA-03,"Young, David",(R),45.0,48.5,Trump,,,
IA-04,"King, Steve",(R),33.5,60.9,Trump,,,
ID-01,"Labrador, Raul",(R),25.4,63.7,Trump,,,
ID-02,"Simpson, Mike",(R),29.8,54.5,Trump,,,
IL-01,"Rush, Bobby",(D),75.4,21.4,Clinton,,,
IL-02,"Kelly, Robin",(D),78.0,19.1,Clinton,,,
IL-03,"Lipinski, Dan",(D),55.2,39.9,Clinton,,,
