CD,Incumbent,Party,Clinton,Trump,Winner,,,
VT-AL,"Welch, Peter",(D),56.7,30.3,Clinton,,,
WA-01,"DelBene, Suzan",(D),54.1,37.8,Clinton,,,
WA-02,"Larsen, Rick",(D),56.9,34.8,Clinton,,,
WA-03,"Herrera Beutler, Jaime",(R),42.5,49.9,Trump,,,
WA-04,"Newhouse, Dan",(R),35.1,57.9,Trump,,,
WA-05,"McMorris Rodgers, Cathy",(R),39.1,52.2,Trump,,,
WA-06,"Kilmer, Derek",(D),51.8,39.5,Clinton,,,
WA-07,"Jayapal, Pramila",(D),82.1,12.2,Clinton,,,
WA-08,"Reichert, David",(R),47.7,44.7,Clinton,,,
WA-09,"Smith, Adam",(D),70.5,23.3,Clinton,,,
WA-10,"Heck, Denny",(D),51.3,39.9,Clinton,,,
WI-01,"Ryan, Paul",(R),42.3,52.6,Trump,,,
WI-02,"Pocan, Mark",(D),65.8,29.0,Clinton,,,
WI-03,"Kind, Ron",(D),44.8,49.3,Trump,,,
WI-04,"Moore, Gwen",(D),74.0,21.8,Clinton,,,
WI-05,"Sensenbrenner, Jim",(R),37.3,57.4,Trump,,,
WI-06,"Grothman, Glenn",(R),38.8,55.7,Trump,,,
WI-07,"Duffy, Sean",(R),37.3,57.8,Trump,,,
WI-08,"Gallagher, Mike",(R),38.6,56.2,Trump,,,
WV-01,"McKinley, David",(R),26.4,68.0,Trump,,,
WV-02,"Mooney, Alex",(R),29.4,65.8,Trump,,,
WV-03,"Jenkins, Evan",(R),23.3,72.5,Trump,,,
WY-AL,"Cheney, Liz",(R),22.5,70.1,Trump,,,
